Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
DeMar DeRozan,PF,32,CHI,76,2743,23.1,.590,.093,.386,2.3,13.7,8.0,23.3,1.2,0.8,9.2,31.8,,7.0,1.8,8.8,.154,,3.4,-0.9,2.5,3.1
Mamadi Diakite,PF,25,OKC,13,188,11.6,.540,.106,.234,9.2,23.3,16.1,1.6,1.3,4.5,11.9,13.5,,0.1,0.3,0.3,.080,,-5.9,0.9,-5.0,-0.1
Cheick Diallo,C,25,DET,3,31,12.3,.517,.000,.750,13.3,29.4,20.9,0.0,1.6,0.0,8.6,16.1,,0.0,0.0,0.1,.108,,-4.2,-3.3,-7.5,0.0
Hamidou Diallo,SG,23,DET,58,1269,15.7,.541,.177,.266,5.6,18.7,11.8,9.8,2.7,1.2,9.0,21.8,,0.6,1.5,2.1,.079,,-1.2,0.7,-0.5,0.5
Gorgui Dieng,C,32,ATL,44,371,17.3,.624,.607,.232,9.5,26.1,17.8,12.7,1.5,3.1,13.9,16.9,,0.8,0.4,1.2,.155,,1.4,0.8,2.1,0.4
Spencer Dinwiddie,PG,28,WASDAL,67,1980,15.1,.543,.449,.343,2.6,13.0,7.8,25.7,1.1,0.6,10.9,21.4,,2.7,1.4,4.1,.098,,0.8,-0.4,0.3,1.1
Donte DiVincenzo,SG,25,MILSAC,42,1005,11.3,.510,.649,.247,4.3,14.0,9.1,16.1,2.3,0.7,16.2,18.9,,-0.1,0.9,0.7,.035,,-1.8,-0.5,-2.3,-0.1
Luka Dončić,PG,22,DAL,65,2301,25.1,.571,.406,.349,2.7,26.0,14.3,46.0,1.6,1.4,15.3,37.4,,3.8,3.8,7.6,.159,,6.4,1.8,8.2,5.9
Luguentz Dort,SG,22,OKC,51,1665,12.3,.541,.539,.263,2.3,10.9,6.5,8.6,1.3,1.0,9.8,23.3,,0.2,1.1,1.4,.040,,-1.5,-0.7,-2.3,-0.1
Ayo Dosunmu,SG,22,CHI,77,2110,11.2,.596,.348,.146,1.4,9.9,5.7,16.5,1.4,1.2,15.9,14.1,,1.7,1.3,3.0,.069,,-1.9,-0.1,-2.0,0.0
Damyean Dotson,SG,27,NYK,2,21,6.4,.500,.250,.000,0.0,10.4,5.1,6.9,0.0,0.0,0.0,8.3,,0.0,0.0,0.0,.045,,-3.7,-1.2,-4.9,0.0
Devon Dotson,PG,22,CHI,11,85,9.8,.538,.391,.391,1.3,10.5,6.0,23.9,0.6,0.0,15.6,16.6,,0.1,0.0,0.1,.048,,-3.4,-1.5,-4.9,-0.1
Sekou Doumbouya,PF,21,LAL,2,16,40.7,.717,.250,.500,13.5,26.8,20.2,0.0,9.0,11.1,17.0,31.6,,0.0,0.1,0.1,.300,,8.8,10.0,18.8,0.1
Jeff Dowtin,PG,24,GSWMILORL,9,108,6.8,.353,.346,.077,7.9,9.8,8.9,12.7,2.2,0.9,15.7,12.8,,-0.1,0.1,0.0,-0.010,,-5.7,0.1,-5.6,-0.1
PJ Dozier,SG,25,DEN,18,340,8.7,.463,.485,.131,4.8,15.6,10.3,11.3,1.6,1.6,11.0,15.2,,-0.1,0.4,0.3,.038,,-3.0,1.0,-2.0,0.0
Goran Dragić,PG,35,TORBRK,21,497,10.0,.474,.417,.219,2.9,11.3,7.1,22.9,1.9,0.7,17.0,17.2,,-0.1,0.4,0.4,.035,,-2.8,-0.5,-3.3,-0.2
Andre Drummond,C,28,PHIBRK,73,1437,21.0,.574,.007,.379,18.0,34.1,26.2,13.7,2.7,4.2,18.5,19.0,,2.0,3.1,5.1,.170,,-0.1,1.4,1.3,1.2
Chris Duarte,SG,24,IND,55,1541,12.3,.537,.411,.180,2.9,13.6,8.2,10.9,1.8,0.6,11.8,21.1,,0.2,0.7,0.9,.029,,-1.2,-1.1,-2.3,-0.1
David Duke Jr.,PG,22,BRK,22,341,10.0,.444,.343,.194,9.8,11.5,10.7,6.6,2.0,1.8,7.1,15.9,,0.0,0.3,0.3,.048,,-3.0,-0.9,-3.9,-0.2
Kris Dunn,PG,27,POR,14,336,12.5,.482,.108,.176,2.8,13.6,8.0,35.1,3.3,0.9,22.5,18.3,,-0.1,0.3,0.2,.024,,-4.6,-0.8,-5.4,-0.3
Kevin Durant,PF,33,BRK,55,2047,25.6,.634,.269,.367,1.6,19.6,10.8,29.1,1.1,2.3,12.9,31.2,,6.4,2.0,8.4,.198,,6.4,0.7,7.2,4.8
Jaime Echenique,C,24,WAS,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.012,,-5.5,-3.0,-8.5,0.0
Anthony Edwards,SG,20,MIN,72,2466,16.5,.560,.484,.225,2.6,12.5,7.5,17.4,2.0,1.8,12.2,26.4,,1.8,2.4,4.3,.084,,1.6,-0.4,1.2,2.0
Carsen Edwards,SG,23,DET,4,79,5.5,.378,.533,.033,2.6,5.8,4.1,26.2,1.2,0.0,14.1,19.2,,-0.1,0.0,-0.1,-0.075,,-6.0,-3.4,-9.3,-0.1
Kessler Edwards,SF,21,BRK,48,987,8.3,.516,.509,.071,5.0,13.8,9.5,4.1,1.4,2.2,13.2,13.8,,-0.2,0.9,0.6,.031,,-3.1,-0.8,-3.8,-0.5
Rob Edwards,SG,25,OKC,2,11,-0.8,.375,1.000,.000,0.0,28.5,14.0,0.0,0.0,0.0,20.0,19.6,,-0.1,0.0,0.0,-0.181,,-8.3,-2.9,-11.2,0.0
CJ Elleby,SF,21,POR,58,1174,9.2,.491,.409,.273,6.0,15.6,10.6,10.6,1.5,1.6,14.0,14.8,,-0.1,0.5,0.4,.016,,-3.8,-1.5,-5.3,-1.0
Wayne Ellington,SG,34,LAL,43,810,9.9,.593,.890,.046,1.3,8.9,5.1,5.0,1.4,0.5,7.3,13.8,,0.6,0.4,1.0,.062,,-0.7,-0.6,-1.4,0.1
Joel Embiid,C,27,PHI,68,2297,31.2,.616,.188,.602,7.2,31.1,19.4,23.5,1.7,3.9,11.3,37.2,,7.9,4.1,12.0,.252,,7.2,2.0,9.2,6.5
James Ennis III,SF,31,BRKLACDEN,7,56,17.7,.553,.333,.208,9.9,13.1,11.6,7.4,1.7,3.1,7.1,22.0,,0.1,0.1,0.1,.114,,-0.1,-1.0,-1.1,0.0
Drew Eubanks,C,24,SASPOR,71,1245,18.0,.638,.062,.350,11.0,22.2,16.5,10.1,1.2,2.8,15.9,17.5,,2.2,1.1,3.4,.130,,-0.5,-0.9,-1.4,0.2
Tacko Fall,C,26,CLE,11,59,11.3,.398,.000,.583,13.4,29.4,21.6,4.6,0.0,9.1,16.6,13.6,,-0.1,0.1,0.1,.043,,-4.1,0.8,-3.4,0.0
Derrick Favors,C,30,OKC,39,653,13.6,.534,.088,.137,9.0,20.2,14.5,5.9,1.3,1.7,4.5,13.4,,0.8,0.7,1.4,.105,,-2.3,0.3,-2.1,0.0
Bruno Fernando,C,23,BOSHOU,30,153,21.2,.671,.036,.436,13.0,26.6,19.8,7.5,0.3,6.5,17.6,22.4,,0.2,0.2,0.4,.139,,-0.4,0.2,-0.1,0.1
Dorian Finney-Smith,PF,28,DAL,80,2644,12.5,.604,.629,.120,5.1,10.7,7.9,8.2,1.7,1.3,9.9,13.8,,3.4,3.2,6.6,.121,,0.1,0.7,0.8,1.9
Malik Fitts,PF,24,UTABOS,15,63,10.7,.553,.526,.000,3.5,25.2,14.7,12.7,0.0,0.0,9.5,14.6,,0.1,0.1,0.1,.097,,-0.6,-0.5,-1.1,0.0
Malachi Flynn,PG,23,TOR,44,537,11.7,.488,.492,.131,1.9,11.3,6.4,18.5,1.9,0.7,6.3,16.5,,0.5,0.5,1.0,.092,,-1.8,0.4,-1.5,0.1
Bryn Forbes,SG,28,SASDEN,75,1286,11.5,.574,.547,.161,0.9,6.9,3.9,8.3,0.9,0.3,8.8,21.2,,0.8,0.6,1.4,.054,,-0.7,-2.2,-2.9,-0.3
Aleem Ford,SF,24,ORL,5,74,0.5,.350,.750,.000,2.8,18.6,10.7,3.8,0.7,0.0,16.7,14.0,,-0.2,0.1,-0.2,-0.103,,-9.1,-2.2,-11.4,-0.2
Trent Forrest,PG,23,UTA,60,765,10.9,.554,.174,.310,3.4,10.5,7.1,18.6,1.9,0.7,21.4,12.8,,0.5,0.8,1.3,.084,,-2.3,1.2,-1.0,0.2
Evan Fournier,SG,29,NYK,80,2358,12.3,.554,.641,.117,1.5,8.2,4.8,11.9,1.7,0.8,9.4,20.8,,1.5,2.2,3.7,.075,,-0.4,-0.3,-0.7,0.7
De'Aaron Fox,PG,24,SAC,59,2084,17.4,.549,.228,.319,1.3,10.9,6.0,26.8,1.6,1.0,11.9,29.1,,1.5,1.0,2.5,.058,,0.6,-1.2,-0.6,0.7
Melvin Frazier,SG,25,OKC,3,120,-0.4,.313,.438,.146,4.2,7.0,5.6,1.2,0.4,0.0,5.5,19.5,,-0.4,0.0,-0.4,-0.160,,-9.7,-6.7,-16.4,-0.4
Tim Frazier,PG,31,ORLCLE,12,208,3.3,.398,.378,.200,2.5,7.1,4.8,22.5,0.7,0.4,23.5,13.3,,-0.3,0.1,-0.2,-0.046,,-6.8,-1.8,-8.6,-0.3
Enes Freedom,C,29,BOS,35,411,15.0,.585,.052,.289,16.5,25.4,21.0,2.7,0.6,3.1,15.5,13.9,,0.6,0.7,1.4,.160,,-1.2,-0.2,-1.4,0.1
Markelle Fultz,PG,23,ORL,18,360,17.7,.517,.097,.177,1.2,13.2,7.2,48.9,2.7,1.3,17.5,27.5,,0.0,0.4,0.4,.053,,-0.1,0.4,0.2,0.2
Wenyen Gabriel,PF,24,BRKLACLAL,26,359,12.5,.549,.255,.382,11.8,17.2,14.5,5.6,0.7,2.7,11.1,17.4,,0.4,0.3,0.7,.089,,-3.7,-2.1,-5.9,-0.4
Daniel Gafford,C,23,WAS,72,1444,21.8,.708,.002,.372,12.1,19.0,15.6,7.3,1.0,5.8,12.0,16.7,,4.4,1.6,6.0,.198,,1.1,0.5,1.6,1.3
Danilo Gallinari,PF,33,ATL,66,1672,14.3,.579,.492,.261,2.3,17.8,10.1,8.5,0.8,0.6,5.4,18.4,,2.8,0.8,3.6,.105,,1.0,-1.2,-0.2,0.8
Langston Galloway,SG,30,BRKMIL,7,107,0.7,.269,.615,.000,3.1,14.7,9.0,13.7,0.4,0.0,18.8,12.8,,-0.3,0.1,-0.2,-0.100,,-8.0,-1.8,-9.8,-0.2
Darius Garland,PG,22,CLE,68,2430,19.0,.576,.387,.205,1.8,8.2,5.1,39.9,1.8,0.3,16.2,27.8,,3.8,2.5,6.3,.125,,3.4,-0.8,2.6,2.8
Marcus Garrett,SG,23,MIA,12,128,4.7,.280,.190,.238,8.1,12.2,10.2,7.0,2.0,2.5,7.9,8.8,,-0.1,0.2,0.1,.032,,-6.4,1.0,-5.4,-0.1
Usman Garuba,PF,19,HOU,24,240,12.9,.510,.455,.159,9.6,28.7,19.1,9.6,2.0,4.1,11.3,9.4,,0.2,0.3,0.5,.105,,-1.8,0.9,-0.9,0.1
Luka Garza,C,23,DET,32,389,15.6,.535,.333,.415,15.3,12.3,13.9,8.3,1.1,1.4,9.4,21.1,,0.5,0.2,0.8,.093,,-0.5,-2.0,-2.5,-0.1
Rudy Gay,PF,35,UTA,55,1038,13.0,.539,.536,.208,6.0,19.1,12.8,7.8,1.2,1.6,10.2,19.3,,0.8,1.3,2.1,.097,,-0.7,-0.3,-1.0,0.3
Paul George,PF,31,LAC,31,1077,18.6,.538,.404,.233,1.2,19.2,10.5,28.1,3.0,1.0,15.2,33.7,,-0.6,1.9,1.3,.057,,1.8,1.9,3.7,1.6
Taj Gibson,C,36,NYK,52,946,12.0,.606,.229,.313,9.8,16.3,13.0,4.9,1.2,4.2,12.5,10.0,,1.4,1.2,2.7,.135,,-3.0,1.0,-2.0,0.0
Josh Giddey,SF,19,OKC,54,1700,13.3,.478,.318,.118,5.8,19.8,12.7,32.3,1.5,1.1,19.5,22.2,,-1.3,1.7,0.4,.010,,-1.2,0.3,-0.9,0.5
Shai Gilgeous-Alexander,PG,23,OKC,56,1942,20.9,.557,.282,.385,1.9,13.0,7.4,31.1,1.8,2.2,11.1,30.8,,2.8,1.8,4.6,.113,,2.9,0.5,3.4,2.7
Anthony Gill,PF,29,WAS,44,463,14.7,.682,.239,.477,8.0,12.2,10.2,8.3,0.5,2.0,12.0,14.4,,1.1,0.2,1.4,.140,,-0.6,-1.3,-1.9,0.0
Freddie Gillespie,PF,24,ORL,9,119,9.5,.419,.045,.318,11.5,20.5,16.0,5.9,1.2,6.9,16.6,10.9,,-0.1,0.2,0.1,.049,,-5.6,1.0,-4.6,-0.1
Rudy Gobert,C,29,UTA,66,2120,24.7,.732,.008,.864,12.9,36.3,25.0,5.1,1.0,5.7,14.5,16.9,,7.3,4.3,11.7,.264,,2.9,1.7,4.6,3.6
Brandon Goodwin,PG,26,CLE,36,502,11.8,.501,.357,.247,3.1,11.4,7.4,26.0,2.5,0.2,17.4,18.2,,0.1,0.7,0.7,.069,,-2.6,1.1,-1.6,0.1
Jordan Goodwin,SG,23,WAS,2,6,-20.4,.000,.333,.000,0.0,18.2,9.2,0.0,0.0,0.0,0.0,22.2,,-0.1,0.0,-0.1,-0.533,,-24.7,-9.4,-34.1,0.0
Aaron Gordon,PF,26,DEN,75,2376,15.3,.602,.312,.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,,3.2,2.0,5.2,.105,,0.5,-1.1,-0.6,0.9
Eric Gordon,SG,33,HOU,57,1670,12.1,.614,.534,.239,1.0,6.5,3.7,14.1,0.8,1.0,14.6,18.6,,1.5,-0.1,1.4,.040,,-0.1,-2.2,-2.3,-0.1
Devonte' Graham,PG,26,NOP,76,2162,12.1,.514,.691,.172,1.9,7.3,4.5,21.0,1.6,0.5,10.7,19.5,,1.6,1.2,2.8,.062,,0.2,-1.2,-1.0,0.5
Jerami Grant,PF,27,DET,47,1500,16.1,.556,.363,.371,1.9,12.4,6.9,12.5,1.4,2.9,9.5,25.7,,1.2,1.1,2.3,.075,,1.4,-0.2,1.2,1.2
Hassani Gravett,PG,25,ORL,8,171,10.1,.629,.684,.105,0.6,12.4,6.5,17.0,1.4,0.5,18.5,12.3,,0.1,0.1,0.3,.071,,-2.4,0.2,-2.3,0.0
Danny Green,SF,34,PHI,62,1353,9.5,.561,.847,.044,2.7,10.1,6.5,6.5,2.2,2.5,12.1,12.3,,0.3,1.6,1.9,.067,,-1.4,0.8,-0.5,0.5
Draymond Green,PF,31,GSW,46,1329,14.3,.582,.210,.354,3.8,23.2,13.8,32.5,2.2,3.6,31.9,14.3,,0.8,2.8,3.6,.131,,-1.4,4.6,3.2,1.8
Jalen Green,SG,19,HOU,67,2138,12.5,.547,.480,.247,1.7,10.0,5.8,13.1,1.0,0.8,11.3,23.7,,0.5,0.2,0.7,.015,,-0.5,-2.4,-2.9,-0.5
JaMychal Green,PF,31,DEN,67,1085,14.1,.587,.379,.284,8.6,19.9,14.5,7.6,1.9,2.2,13.4,17.2,,1.2,1.4,2.7,.118,,-2.0,0.1,-1.8,0.0
Javonte Green,SF,28,CHI,65,1519,14.0,.637,.311,.295,6.8,13.6,10.2,5.3,2.2,1.8,7.6,11.5,,2.9,1.5,4.4,.139,,-0.6,0.7,0.1,0.8
Jeff Green,PF,35,DEN,75,1849,12.5,.627,.318,.374,2.6,11.1,7.0,7.3,0.7,1.3,10.3,16.3,,2.7,1.2,3.9,.101,,-1.2,-1.3,-2.5,-0.2
Josh Green,SG,21,DAL,67,1039,11.9,.578,.305,.176,5.6,11.7,8.6,11.0,2.2,1.2,13.8,13.9,,1.0,1.4,2.4,.111,,-2.4,1.4,-1.0,0.3
Blake Griffin,C,32,BRK,56,958,13.7,.518,.463,.243,7.0,18.6,13.0,15.0,1.4,1.3,8.2,16.9,,1.2,0.9,2.1,.106,,-0.6,0.1,-0.5,0.3
Quentin Grimes,SG,21,NYK,46,786,10.7,.565,.804,.081,3.2,9.8,6.4,8.5,2.0,1.4,10.3,15.1,,0.6,0.9,1.4,.087,,-1.2,0.9,-0.3,0.3
Kyle Guy,SG,24,MIA,19,186,9.5,.526,.615,.185,2.5,7.8,5.2,13.5,1.9,0.6,15.6,19.9,,-0.1,0.2,0.1,.035,,-3.1,-0.3,-3.4,-0.1
Rui Hachimura,PF,23,WAS,42,943,14.9,.579,.323,.173,3.0,15.6,9.4,7.9,1.2,0.8,7.4,20.9,,0.9,0.6,1.4,.073,,0.2,-1.7,-1.4,0.1
Tyrese Haliburton,SG-PG,21,SACIND,77,2694,18.2,.595,.428,.209,2.5,10.3,6.3,34.1,2.4,1.6,16.7,19.0,,5.2,1.8,7.0,.125,,2.7,-0.1,2.6,3.1
Tyler Hall,SG,24,NYK,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.007,,-8.1,-0.5,-8.5,0.0
R.J. Hampton,SG,20,ORL,64,1402,8.5,.481,.400,.256,1.7,12.9,7.3,16.9,1.4,0.8,14.6,18.4,,-1.3,1.1,-0.2,-0.005,,-4.0,-0.1,-4.1,-0.7
Tim Hardaway Jr.,SG,29,DAL,42,1245,12.7,.520,.574,.194,1.2,12.8,7.0,11.4,1.5,0.4,5.6,22.0,,0.5,1.5,2.0,.077,,-0.4,0.2,-0.2,0.6
James Harden,PG,32,BRKPHI,65,2420,20.9,.583,.452,.540,2.6,19.7,11.3,40.3,1.7,1.3,18.8,27.2,,4.9,2.7,7.6,.152,,3.7,0.3,4.0,3.7
Maurice Harkless,SF,28,SAC,47,863,7.7,.561,.558,.155,1.5,12.7,7.1,3.6,1.6,2.4,13.8,11.2,,-0.1,0.6,0.5,.026,,-3.7,0.4,-3.3,-0.3
Jared Harper,PG,24,NOP,5,43,36.9,.666,.462,.154,5.0,0.0,2.6,64.1,4.6,2.2,6.7,29.7,,0.3,0.1,0.4,.422,,14.2,3.1,17.3,0.2
Montrezl Harrell,C,28,WASCHO,71,1640,23.2,.680,.031,.533,10.0,18.7,14.4,13.9,0.9,2.3,9.5,20.2,,6.1,1.2,7.3,.213,,3.7,0.1,3.9,2.4
Gary Harris,SG,27,ORL,61,1730,10.9,.571,.546,.172,2.2,5.3,3.7,9.5,1.6,0.5,9.3,16.4,,1.1,1.0,2.2,.060,,-2.0,-0.4,-2.4,-0.2
Joe Harris,SF,30,BRK,14,423,9.6,.624,.710,.048,1.3,12.8,7.2,4.5,0.8,0.4,11.2,14.5,,0.3,0.2,0.5,.060,,-0.9,-0.5,-1.4,0.1
Tobias Harris,PF,29,PHI,73,2543,15.9,.566,.269,.198,3.4,18.1,10.9,15.9,0.9,1.5,9.5,21.7,,3.0,2.6,5.6,.105,,0.6,-0.6,0.0,1.3
Shaquille Harrison,SG,28,BRK,2,23,4.6,.333,.333,.000,4.9,13.8,9.5,16.6,2.1,3.9,25.0,15.0,,-0.1,0.0,0.0,-0.067,,-9.0,0.6,-8.3,0.0
Josh Hart,SG,26,NOPPOR,54,1791,16.1,.610,.374,.371,3.7,20.7,12.0,18.9,1.7,0.7,14.7,18.6,,2.8,1.5,4.4,.117,,0.5,0.5,0.9,1.3
Isaiah Hartenstein,C,23,LAC,68,1216,22.0,.664,.082,.361,10.5,18.2,14.5,20.5,2.0,5.4,16.5,18.4,,3.3,2.2,5.5,.215,,1.4,3.1,4.5,2.0
Udonis Haslem,C,41,MIA,13,83,8.6,.495,.129,.097,5.6,28.2,17.1,7.4,0.6,1.3,13.4,20.0,,-0.1,0.1,0.1,.033,,-6.4,-0.7,-7.1,-0.1
Sam Hauser,SF,24,BOS,26,158,14.8,.650,.880,.000,3.5,16.0,9.9,9.1,0.3,1.2,3.8,14.5,,0.4,0.2,0.6,.171,,2.7,-0.3,2.3,0.2
Jaxson Hayes,C,21,NOP,70,1398,18.5,.680,.143,.472,8.9,16.2,12.5,4.7,1.2,3.8,10.1,16.4,,3.7,1.3,5.1,.174,,0.6,-0.3,0.2,0.8
Killian Hayes,PG,20,DET,66,1647,9.3,.461,.364,.161,2.2,12.0,6.9,24.6,2.3,1.9,18.4,15.7,,-1.0,1.5,0.5,.014,,-4.3,0.8,-3.5,-0.6
Gordon Hayward,SF,31,CHO,49,1564,15.1,.570,.357,.241,2.5,12.8,7.6,16.1,1.4,1.3,10.6,20.7,,1.9,1.0,2.8,.087,,0.1,-0.8,-0.7,0.5
Aaron Henry,SF,22,PHI,6,17,-7.4,.200,.200,.000,0.0,6.5,3.3,0.0,0.0,10.6,28.6,18.5,,-0.1,0.0,-0.1,-0.306,,-14.0,-2.4,-16.5,-0.1
Juancho Hernangómez,PF,26,BOSSASUTA,40,445,11.5,.542,.651,.321,7.0,17.1,12.2,6.0,1.6,2.0,11.7,13.4,,0.3,0.6,0.9,.095,,-0.7,0.1,-0.6,0.2
Willy Hernangómez,C,27,NOP,50,839,22.2,.582,.037,.431,18.5,26.3,22.3,11.9,1.2,2.2,11.6,22.5,,2.2,0.9,3.2,.180,,1.8,-1.5,0.2,0.5
Tyler Herro,SG,22,MIA,66,2151,16.2,.561,.391,.195,1.7,15.4,8.7,20.9,1.0,0.4,12.5,28.8,,1.3,2.4,3.8,.084,,1.6,-0.9,0.7,1.5
Buddy Hield,SG,29,SACIND,81,2499,12.9,.548,.652,.116,2.9,12.8,7.8,13.8,1.4,0.9,11.7,22.4,,0.8,1.1,1.9,.036,,0.5,-1.7,-1.2,0.5
Haywood Highsmith,SF,25,MIA,19,163,7.0,.446,.609,.109,7.1,10.9,9.0,5.1,0.6,1.9,5.9,14.0,,0.0,0.2,0.1,.041,,-3.3,-1.3,-4.6,-0.1
George Hill,PG,35,MIL,54,1253,10.2,.552,.487,.225,3.3,9.7,6.6,12.4,1.6,0.5,11.9,11.7,,1.3,1.0,2.3,.087,,-2.2,0.6,-1.6,0.1
Malcolm Hill,SF-SG,26,ATLCHI,19,212,12.7,.619,.692,.269,5.8,12.6,9.2,5.0,1.6,1.2,4.9,12.7,,0.4,0.2,0.6,.126,,-1.1,-0.5,-1.6,0.0
Solomon Hill,SF,30,ATL,13,139,3.3,.200,.650,.000,4.8,13.3,9.1,10.3,1.4,1.3,4.8,6.6,,-0.1,0.1,0.0,-0.006,,-5.2,1.2,-4.0,-0.1
Nate Hinton,SG,22,IND,2,2,-45.2,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,42.8,,-0.1,0.0,-0.1,-1.231,,-28.1,-14.5,-42.6,0.0
Jaylen Hoard,SF,22,OKC,7,240,18.0,.536,.278,.156,12.7,23.5,18.0,11.6,1.2,1.9,7.7,18.7,,0.3,0.3,0.6,.118,,1.2,-2.1,-0.9,0.1
Aaron Holiday,PG,25,WASPHO,63,1021,12.6,.544,.305,.201,2.6,10.3,6.5,20.7,2.0,0.7,15.4,18.7,,0.5,0.9,1.5,.068,,-1.9,0.3,-1.7,0.1
Jrue Holiday,PG,31,MIL,67,2208,19.8,.593,.336,.189,3.4,10.9,7.2,31.8,2.4,1.3,15.0,23.5,,4.5,2.4,6.9,.150,,2.9,0.3,3.2,2.9
Justin Holiday,SF-SG,32,INDSAC,74,2057,9.5,.543,.728,.094,1.5,8.8,5.1,8.6,1.3,1.4,9.2,15.8,,0.8,0.6,1.4,.033,,-1.4,-0.8,-2.2,-0.1
Richaun Holmes,C,28,SAC,45,1074,17.8,.689,.017,.300,9.3,22.9,16.1,6.8,0.8,3.3,14.2,15.8,,2.4,0.9,3.2,.145,,-0.4,-0.1,-0.5,0.4
Rodney Hood,PF-SF,29,MILLAC,52,709,7.2,.493,.580,.121,2.3,9.1,5.8,6.9,1.0,0.8,6.2,10.7,,0.2,0.5,0.7,.048,,-3.0,-0.3,-3.3,-0.2
Scotty Hopson,SG,32,OKC,1,18,0.1,.500,.250,.000,0.0,5.8,2.9,8.1,0.0,0.0,33.3,14.4,,-0.1,0.0,0.0,-0.132,,-8.7,-2.9,-11.6,0.0
Al Horford,C,35,BOS,69,2005,16.7,.574,.466,.167,6.0,22.2,14.3,16.4,1.2,4.2,9.6,14.8,,3.7,3.8,7.6,.181,,1.4,2.9,4.3,3.2
Talen Horton-Tucker,SG,21,LAL,60,1511,11.0,.503,.338,.232,2.6,11.1,6.9,14.9,1.9,1.7,12.1,19.2,,-0.2,1.2,1.1,.033,,-3.2,-0.2,-3.3,-0.5
Danuel House Jr.,SF,28,HOUNYKUTA,42,727,10.6,.555,.591,.293,2.8,13.8,8.4,8.4,1.4,2.1,12.9,15.2,,0.4,0.7,1.0,.068,,-1.3,0.2,-1.1,0.2
Dwight Howard,C,36,LAL,60,971,18.2,.657,.068,.667,13.1,26.3,19.7,5.0,1.7,3.3,14.2,14.6,,2.2,1.3,3.5,.174,,-0.2,0.0,-0.2,0.4
Markus Howard,SG,22,DEN,31,176,16.1,.567,.693,.228,1.3,6.1,3.8,6.2,2.5,0.0,5.9,29.4,,0.1,0.2,0.3,.082,,0.8,-2.0,-1.2,0.0
Kevin Huerter,SF,23,ATL,74,2188,11.9,.570,.541,.068,1.6,11.0,6.4,13.2,1.2,1.1,10.4,17.5,,1.8,1.0,2.8,.062,,-0.5,-0.7,-1.2,0.4
Jay Huff,C,23,LAL,4,20,0.6,.000,.667,.000,5.4,16.1,10.8,5.9,2.4,4.5,25.0,8.6,,-0.1,0.0,0.0,-0.117,,-8.3,0.9,-7.4,0.0
Elijah Hughes,SG-SF,23,UTAPOR,36,434,5.4,.426,.660,.063,1.5,13.4,7.3,7.2,1.6,1.8,10.3,16.5,,-0.6,0.3,-0.4,-0.043,,-5.2,-1.7,-6.9,-0.5
Feron Hunt,SF,22,NYK,2,8,-3.0,.000,.000,.000,13.2,0.0,6.7,16.0,6.3,0.0,33.3,16.4,,-0.1,0.0,0.0,-0.234,,-12.3,1.0,-11.3,0.0
De'Andre Hunter,SF,24,ATL,53,1577,10.6,.547,.339,.289,1.8,10.4,6.1,6.1,1.1,1.2,9.6,19.9,,0.4,0.7,1.1,.034,,-2.4,-1.5,-3.9,-0.8
Chandler Hutchison,SF,25,PHO,6,22,1.0,.694,.000,1.000,0.0,23.8,12.2,10.5,0.0,0.0,58.1,13.5,,-0.1,0.0,0.0,-0.086,,-8.0,-0.5,-8.5,0.0
Bones Hyland,SG,21,DEN,69,1310,14.4,.558,.627,.219,1.2,14.4,8.0,21.2,1.5,1.4,12.1,23.8,,1.1,1.3,2.4,.088,,0.3,-0.7,-0.4,0.5
Serge Ibaka,C,32,LACMIL,54,878,14.4,.579,.334,.149,7.7,22.2,15.1,8.4,0.6,3.3,12.0,17.8,,0.8,1.1,2.0,.108,,-1.3,-0.2,-1.5,0.1
Andre Iguodala,SF,38,GSW,31,603,12.3,.478,.612,.165,3.9,13.9,9.1,24.7,2.2,3.5,17.7,11.4,,0.5,1.1,1.6,.125,,-0.9,3.7,2.7,0.7
Joe Ingles,SF,34,UTA,45,1122,10.0,.551,.789,.077,1.2,11.2,6.4,19.0,1.0,0.4,13.5,13.2,,1.3,0.9,2.2,.094,,-0.7,0.5,-0.3,0.5
Brandon Ingram,SF,24,NOP,55,1869,18.7,.554,.230,.328,2.0,17.3,9.5,27.8,0.9,1.3,11.8,29.3,,2.5,1.3,3.9,.099,,2.6,-0.6,2.0,1.9
Kyrie Irving,PG,29,BRK,29,1091,21.4,.592,.388,.209,1.6,10.8,6.3,25.2,1.8,1.4,9.8,29.4,,2.4,0.9,3.3,.147,,4.2,-1.2,3.0,1.4
Wes Iwundu,SF,27,ATL,3,82,7.1,.557,.278,.222,4.0,13.3,8.7,0.0,0.6,0.0,4.8,11.1,,0.1,0.0,0.1,.046,,-4.1,-2.7,-6.8,-0.1
